0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",s,a,s,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",p,u,r,n,i,a,",",a,r,r,a,h,",",p,a,t,n,a
,,,,,,,,,,,y,a,",",a,r,r,a,h,",",k,a,t,i,h,a,r,",",m,u,n,g,e,r,",",j,e,h,a,n,a,b,a,d,",",b,u,x,a,r,",",d,e,h,r,i,",",k,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,g,a,b,a,d,",",b,u,x,a,r,",",m,o,t,i,h,a,r,i,",",j,e,h,a,n,a,b,a,d,",",g,a,y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,u,r,n,i,a,",",g,a,y,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",j
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,a,r,b,h,a,n,g,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",d,a,n,a,p,u,r,",",b,e,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",b,u,x,a,r,",",p,u,r,n,i,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,i,h,a,r,",",s,i,w,a,n,",",a,u,r,a,n,g,a,b,a,d,",",j,a,m,a,l
,,,,,,a,n,j,",",b,u,x,a,r,",",p,a,t,n,a,",",d,a,n,a,p,u,r,",",d,a,r,b,h,a,n,g,a,",",j,a,m,a,l,p,u,r,",",h,a,j,i,p,u,r,",",d,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",s,a,h,a,r,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,a,t,i,h,a,r,",",b,e,g,u,s,a,r,a,i,",",d,a,n,a,p,u,r,",",b,u,x,a,r,",",d,a,n,a,p,u,r,",",d,a,r,b,h,a,n,g,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,d,a,r,b,h,a,n,g,a,",",s,i,w,a,n,",",d,e,h,r,i,",",b,i,h,a,r, ,s,h,a,r,i,f,","
,,,,,,,,,,,,,,,,,,,a,n,g,a,",",b,h,a,g,a,l,p,u,r,",",b,u,x,a,r,",",a,u,r,a,n,g,a,b,a,d,",",a,u,r,a,n,g,a,b,a
,,,,,,,,,,,,,,,,,,,,,,,,b,u,x,a,r,",",d,e,h,r,i,",",c,h,h,a,p,r,a,",",g,a,y,a,",",m,o,t,i,h,a,r,i,",",a,u
,,,,h,a,n,g,a,n,j,",",a,u,r,a,n,g,a,b,a,d,",",b,u,x,a,r,",",j,a,m,a,l,p,u,r,",",c,h,h,a,p,r,a,",",b,u,x,a,r,",",d,e,h,r,i,",",p,u
,,,,,,,,,,,,,,,,,y,a,",",a,r,r,a,h,",",b,i,h,a,r, ,s,h,a,r,i,f,",",s,i,w,a,n,",",d,a,r,b,h,a,n,g,a,",",k,a,t,i,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,a,m,a,l,p,u,r,",",a,r,r,a,h,",",j,a,m,a,l,p,u,r,",",b,u
,,,,,,h,r,i,",",d,a,n,a,p,u,r,",",d,a,r,b,h,a,n,g,a,",",h,a,j,i,p,u,r,",",c,h,h,a,p,r,a,",",a,u,r,a,n,g,a,b,a,d,",",m,u,z,a,f
,,,,,,,,,,,,,,,,,,,,,,n,a,p,u,r,",",b,u,x,a,r,",",a,u,r,a,n,g,a,b,a,d,",",b,h,a,g,a,l,p,u,r,",",b,i,h,a,r
,,,,,,,,,,,,,,,,,,,,,,,k,i,s,h,a,n,g,a,n,j,",",m,o,t,i,h,a,r,i,",",j,a,m,a,l,p,u,r,",",b,u,x,a,r,",",b,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",j,e,h,a,n,a,b,a,d,",",j,a,m,a
,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",s,i,w,a,n,",",s,a,s,a,r,a,m,",",a,r,r,a,h,",",k,i,s,h,a,n,g,a,n,j,",",b,e,g,u,s,a,r,a,i
,,x,a,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",s,i,w,a,n,",",a,r,r,a,h,",",p,a,t,n,a,",",s,a,s,a,r,a,m,",",s,a,s,a,r,a,m,",",b,e,g,u,s,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,i,h,a,r,",",m,u,z,a,f,f,a,r,p,u,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,a,n,g,a,n,j,",",h,a,j,i,p,u,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",s,a
,a,r,a,m,",",p,u,r,n,i,a,",",b,u,x,a,r,",",p,a,t,n,a,",",m,u,z,a,f,f,a,r,p,u,r,",",h,a,j,i,p,u,r,",",b,e,t,t,i,a,h,",",j,a,m,a,l,p,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,z,a,f,f,a,r,p,u,r,",",j,a,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",s,a,h,a,r,s,a,",",p,u,r,n,i,a
,,,,,,,,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",b,i,h,a,r, ,s,h,a,r,i,f,",",k,a,t,i,h,a,r,",",c,h,h,a,p,r,a,",",j,a,m,a,l,p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,k,i,s,h,a,n,g,a,n,j,",",s,a,s,a,r,a,m,",",b,i,h,a,r, ,s,h,a,r,i,f,",",b,u,x
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,x,a,r,",",b,e,t,t,i,a,h,",",b,u,x,a,r,",",b,e,t,t,i,a,h,",",b,e,t
,,,,,,,m,a,l,p,u,r,",",g,a,y,a,",",d,a,n,a,p,u,r,",",p,a,t,n,a,",",a,u,r,a,n,g,a,b,a,d,",",c,h,h,a,p,r,a,",",c,h,h,a,p,r,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r,a,i,",",s,i,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",b,i,h,a,r, ,s,h,a,r,i,f,",",k,i,s,h,a,n,g,a,n
,,,,,,,,h,a,r, ,s,h,a,r,i,f,",",d,a,r,b,h,a,n,g,a,",",p,u,r,n,i,a,",",p,u,r,n,i,a,",",d,a,r,b,h,a,n,g,a,",",d,a,n,a,p,u,r
,,,,,,,,,,,,,,,,i,h,a,r,",",p,u,r,n,i,a,",",m,u,z,a,f,f,a,r,p,u,r,",",b,e,g,u,s,a,r,a,i,",",j,e,h,a,n,a,b,a,d,","
,,,,,,,,,,,,a,",",g,a,y,a,",",p,a,t,n,a,",",b,e,t,t,i,a,h,",",g,a,y,a,",",s,a,s,a,r,a,m,",",b,e,g,u,s,a,r,a,i,",",p,u,r,n
,,,,,,,,,,,,,,,,,,,,,,,m,u,z,a,f,f,a,r,p,u,r,",",h,a,j,i,p,u,r,",",b,h,a,g,a,l,p,u,r,",",d,a,n,a,p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,h,a,r,s,a,",",k,i,s,h,a,n,g,a,n,j,",",m,u,n,g,e,r,",",a,u,r,a,n,g
,,,,,,,,,,,,,,,b,u,x,a,r,",",j,e,h,a,n,a,b,a,d,",",k,a,t,i,h,a,r,",",k,i,s,h,a,n,g,a,n,j,",",g,a,y,a,",",p,a,t,n,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",",a,r,r,a,h,",",s,a,h,a,r,s,a,",",b,e,g,u,s,a,r,a,i,",",c,h,h,a,p,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,n,g,e,r,",",p,a,t,n,a,",",b,h,a,g,a,l,p,u,r,",",h,a,j,i,p,u
,,,,,,,,,,,,,,,j,e,h,a,n,a,b,a,d,",",d,a,n,a,p,u,r,",",c,h,h,a,p,r,a,",",d,a,r,b,h,a,n,g,a,",",j,a,m,a,l,p,u,r,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,a
,,,,,,,,,,,,,,,,,,,,,,,d,a,n,a,p,u,r,",",a,r,r,a,h,",",d,a,n,a,p,u,r,",",a,r,r,a,h,",",m,u,n,g,e,r,",",a,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,a,r,b,h,a,n,g,a,",",k,i,s,h,a,n,g,a,n,j,",",b,e,g,u,s,a,r,a,i,",",d,a,r,b,h,a,n,g,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,u,r,",",b,h,a,g,a,l,p,u,r,",",a,r,r,a,h,",",j,e,h,a,n,a,b,a,d,",",b,e,g,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",d,a,n,a,p,u,r,",",h,a,j,i,p
,,,,,,,,,,h,",",m,u,n,g,e,r,",",c,h,h,a,p,r,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",a,r,r,a,h,",",b,h,a,g,a,l,p,u,r,",",a,r,r,a
,,,,,,,,,,,,,,,,,,,,,,a,r,b,h,a,n,g,a,",",p,a,t,n,a,",",s,i,w,a,n,",",d,e,h,r,i,",",a,r,r,a,h,",",m,u,n,g,e
,,,,,,f,a,r,p,u,r,",",a,u,r,a,n,g,a,b,a,d,",",b,i,h,a,r, ,s,h,a,r,i,f,",",k,a,t,i,h,a,r,",",c,h,h,a,p,r,a,",",j,a,m,a,l,p,u
,,,,,,,,,,,,n,j,",",s,a,s,a,r,a,m,",",c,h,h,a,p,r,a,",",j,e,h,a,n,a,b,a,d,",",p,u,r,n,i,a,",",d,e,h,r,i,",",d,a,r,b,h,a
,,,,,,,,,,,,,,,,,,,,s,a,s,a,r,a,m,",",p,u,r,n,i,a,",",a,r,r,a,h,",",h,a,j,i,p,u,r,",",g,a,y,a,",",m,u,z,a,f,f
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,a,r,b,h,a,n,g,a,",",d,a,n,a,p
,,,,,,,,,,d,",",c,h,h,a,p,r,a,",",m,u,n,g,e,r,",",c,h,h,a,p,r,a,",",s,i,w,a,n,",",s,i,w,a,n,",",b,u,x,a,r,",",b,u,x,a,r,",",m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,x,a,r,",",b,i,h,a,r, ,s,h,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,a,m,a,l,p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r,a,i,",",s,a,h,a,r,s,a,",",b,e,g,u,s,a,r,a,i,",",m,u,z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",m,u,z,a,f,f
,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,z,a,f,f,a,r,p,u,r,",",b,e,g,u,s,a,r,a,i,",",j,a,m,a,l,p,u,r,",",s
,,,,,,,,,,,,,,,,,,,,,,,",",g,a,y,a,",",m,u,n,g,e,r,",",b,e,t,t,i,a,h,",",k,i,s,h,a,n,g,a,n,j,",",b,u,x,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,a,j,i,p,u,r,",",m,u,z,a,f,f,a,r,p,u,r,",",p,u,r,n,i,a,",",s,a,h,a,r,s,a,",",s
,,,,,,,,,,,,,,,,,,,,,,,d,a,n,a,p,u,r,",",d,a,r,b,h,a,n,g,a,",",m,u,n,g,e,r,",",j,a,m,a,l,p,u,r,",",s,a,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",j,e,h,a,n,a,b,a,d,",",j,a,m,a,l
,,,,,,,,,,,,,,m,u,n,g,e,r,",",b,h,a,g,a,l,p,u,r,",",s,a,h,a,r,s,a,",",b,h,a,g,a,l,p,u,r,",",a,r,r,a,h,",",b,e,g,u,s
,,,a,d,",",m,o,t,i,h,a,r,i,",",j,a,m,a,l,p,u,r,",",g,a,y,a,",",s,a,h,a,r,s,a,",",m,u,n,g,e,r,",",d,a,n,a,p,u,r,",",m,u,z,a,f,f,a,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h,a,j,i,p,u,r,",",m,u,n,g,e,r,",",b,e,g,u,s,a,r,a,i,",",p,u,r,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,x,a,r,",",g,a,y,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",c,h
,,,,,,,,,,,,,i,",",k,a,t,i,h,a,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",s,i,w,a,n,",",d,e,h,r,i,",",a,u,r,a,n,g,a,b,a,d,",",p
,,,,,,,,,,,,,,,,,,,,,,,n,a,p,u,r,",",k,i,s,h,a,n,g,a,n,j,",",m,u,z,a,f,f,a,r,p,u,r,",",j,e,h,a,n,a,b,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,h,a,g,a,l,p,u,r,",",a,u,r,a,n,g,a,b,a,d,",",k,i,s,h,a,n,g
,,,,,,,,,,,k,a,t,i,h,a,r,",",m,o,t,i,h,a,r,i,",",d,a,r,b,h,a,n,g,a,",",m,u,z,a,f,f,a,r,p,u,r,",",b,e,t,t,i,a,h,",",d,a
,,,,,,,,,,,,,,,,,p,u,r,n,i,a,",",s,i,w,a,n,",",s,a,h,a,r,s,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",k,a,t,i,h,a,r,",",d
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r,a,i,",",b,u,x,a,r,",",a,r,r,a,h,",",h
,,,,,,,,,,,,,,,,,,,,,,,,,k,i,s,h,a,n,g,a,n,j,",",h,a,j,i,p,u,r,",",s,a,h,a,r,s,a,",",s,i,w,a,n,",",d,e
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,i,h,a,r,",",b,e,t,t,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,i,",",p,u,r,n,i,a,",",k,i,s,h,a,n,g,a,n,j,",",m,u,z,a,f,f,a,r,p,u,r,",",s,a,s
,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",j,a,m,a,l,p,u,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",s,a,s,a,r
,,,,,,,,,,,,,,,,,,,,s,a,s,a,r,a,m,",",d,e,h,r,i,",",b,i,h,a,r, ,s,h,a,r,i,f,",",b,e,t,t,i,a,h,",",j,a,m,a,l
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,z,a,f,f,a,r,p,u,r,",",k,i,s,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,u,x,a,r,",",k,a,t,i,h,a,r,",",p,a,t,n,a,",",d,a,r,b,h,a,n
,,,,,,,,,,,,,,,z,a,f,f,a,r,p,u,r,",",b,e,t,t,i,a,h,",",j,a,m,a,l,p,u,r,",",m,o,t,i,h,a,r,i,",",p,a,t,n,a,",",p,u,r
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,a,t,n,a,",",g,a,y,a,",",d,a,n,a,p,u,r,",",g,a,y,a,",",s,i,w,a,n,",",d,a,r,b,h,a,n,g,a,",",k,a,t,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,j,a,m,a,l,p,u,r,",",s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,i,w,a,n,",",j,e,h,a,n,a,b,a,d,",",a,u,r,a,n,g
,,,",",s,a,h,a,r,s,a,",",d,e,h,r,i,",",s,a,s,a,r,a,m,",",j,e,h,a,n,a,b,a,d,",",c,h,h,a,p,r,a,",",b,e,g,u,s,a,r,a,i,",",d,a,r,b,h,a
,,,,,,,,,,,,,,,,,,,,,,d,a,r,b,h,a,n,g,a,",",p,u,r,n,i,a,",",m,u,z,a,f,f,a,r,p,u,r,",",s,a,h,a,r,s,a,",",j
,,,,,,,,,,,,,,,,,,,,,,,a,r,",",a,u,r,a,n,g,a,b,a,d,",",a,r,r,a,h,",",m,u,z,a,f,f,a,r,p,u,r,",",m,u,n,g,e
,,,,,,,,,,,,,,,,,,",",k,a,t,i,h,a,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",b,h,a,g,a,l,p,u,r,",",s,a,h,a,r,s,a,",",m,u
,,,,,,,,,,,,,,,,",",b,i,h,a,r, ,s,h,a,r,i,f,",",d,a,r,b,h,a,n,g,a,",",b,u,x,a,r,",",b,e,t,t,i,a,h,",",s,i,w,a,n,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i
,,,,,,,,,,,,,,,h,a,j,i,p,u,r,",",p,a,t,n,a,",",h,a,j,i,p,u,r,",",j,e,h,a,n,a,b,a,d,",",a,r,r,a,h,",",b,i,h,a,r, ,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,r,s,a,",",b,e,g,u,s,a,r,a,i,",",b,h,a,g,a,l,p,u,r,",",b,e,t,t,i,a,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,a,r,s,a,",",j,a,m,a,l,p,u,r,",",d,a,n,a,p,u,r,",",m,u,n,g,e,r,",",d,a,r,b,h,a,n,g,a,",",d,a,n,a,p,u,r,",",a,r,r,a
,,,,,,,,,,,,,,,,r,",",j,e,h,a,n,a,b,a,d,",",k,i,s,h,a,n,g,a,n,j,",",a,r,r,a,h,",",b,e,t,t,i,a,h,",",m,u,n,g,e,r,","
,,,,,,,,,,,,a,r,r,a,h,",",m,u,n,g,e,r,",",b,h,a,g,a,l,p,u,r,",",a,r,r,a,h,",",s,a,s,a,r,a,m,",",m,o,t,i,h,a,r,i,",",b,u
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,u,n,g,e,r,",",d,a,n,a,p,u,r,",",s,i,w
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e,g,u,s,a,r,a,i,",",b,e,g,u,s,a,r,a,i,",",c,h,h,a,p,r,a,",",s,i,w
,,,,,,,,,,,,,,,,,,b,e,t,t,i,a,h,",",a,u,r,a,n,g,a,b,a,d,",",d,a,r,b,h,a,n,g,a,",",b,i,h,a,r, ,s,h,a,r,i,f,","
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",j,a,m,a,l,p,u,r,",",m,o
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,i,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,a,t,i,h,a,r,",",b,e,g,u,s,a
,a,h,",",d,a,r,b,h,a,n,g,a,",",b,h,a,g,a,l,p,u,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",a,r,r,a,h,",",g,a,y,a,",",p,a,t,n,a,",",c,h,h,a,p,r
,,,,,,,,,,,,,,,,,,,,m,u,n,g,e,r,",",c,h,h,a,p,r,a,",",b,e,t,t,i,a,h,",",b,u,x,a,r,",",p,a,t,n,a,",",h,a,j,i,p
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k,i,s,h,a,n,g,a,n,j,",",a,u,r,a,n,g,a,b,a,d,",",a,u
,,,,,,,,,,,,,,,,,,,m,u,z,a,f,f,a,r,p,u,r,",",m,o,t,i,h,a,r,i,",",b,u,x,a,r,",",j,e,h,a,n,a,b,a,d,",",k,i,s,h
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,h,h,a,p,r,a,",",a,r,r,a,h,",",k,a,t,i,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,a,t,n,a,","
,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",b,h,a,g,a,l,p,u,r,",",b,e,t,t,i,a,h,",",k,a,t,i,h,a,r,",",s,a
,,,h,a,r,i,f,",",m,o,t,i,h,a,r,i,",",j,a,m,a,l,p,u,r,",",a,u,r,a,n,g,a,b,a,d,",",s,a,s,a,r,a,m,",",b,h,a,g,a,l,p,u,r,",",c,h,h,a
,,,,,,,,,,,,u,r,a,n,g,a,b,a,d,",",h,a,j,i,p,u,r,",",g,a,y,a,",",j,e,h,a,n,a,b,a,d,",",k,i,s,h,a,n,g,a,n,j,",",a,r,r,a
,,,,,,,,,,,,,,n,g,e,r,",",d,a,n,a,p,u,r,",",a,u,r,a,n,g,a,b,a,d,",",p,a,t,n,a,",",b,e,g,u,s,a,r,a,i,",",a,r,r,a,h,","
,,,,,,,,,,,,,,,,",",k,i,s,h,a,n,g,a,n,j,",",b,e,t,t,i,a,h,",",d,e,h,r,i,",",b,u,x,a,r,",",b,i,h,a,r, ,s,h,a,r,i,f
,,,,,,,,,,,,,u,r,",",m,u,z,a,f,f,a,r,p,u,r,",",d,a,n,a,p,u,r,",",j,e,h,a,n,a,b,a,d,",",b,h,a,g,a,l,p,u,r,",",d,a,r,b
,,,i,",",k,i,s,h,a,n,g,a,n,j,",",d,a,r,b,h,a,n,g,a,",",j,a,m,a,l,p,u,r,",",p,u,r,n,i,a,",",m,u,z,a,f,f,a,r,p,u,r,",",d,a,r,b,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,h,a,r,s
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,a,t
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,a,",",j,a,m,a,l,p,u,r,",",j,a,m,a,l,p,u,r,",",b,u,x,a,r,",",p,a,t
,,,,a,i,",",b,i,h,a,r, ,s,h,a,r,i,f,",",m,o,t,i,h,a,r,i,",",s,a,s,a,r,a,m,",",m,u,z,a,f,f,a,r,p,u,r,",",s,a,h,a,r,s,a,",",c,h,h
,,,,,,,,,,,,,,, ,s,h,a,r,i,f,",",g,a,y,a,",",p,a,t,n,a,",",b,u,x,a,r,",",b,i,h,a,r, ,s,h,a,r,i,f,",",g,a,y,a,",",j,e
,,,b,i,h,a,r, ,s,h,a,r,i,f,",",s,i,w,a,n,",",m,u,z,a,f,f,a,r,p,u,r,",",a,u,r,a,n,g,a,b,a,d,",",m,u,z,a,f,f,a,r,p,u,r,",",a,r,r
,,,,,,,,,,,,,,,,d,a,n,a,p,u,r,",",b,h,a,g,a,l,p,u,r,",",d,a,r,b,h,a,n,g,a,",",d,a,n,a,p,u,r,",",b,e,g,u,s,a,r,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p,a,t,n,a,",",d,a,n,a,p,u,r,",",b,u,x,a,r,",",s,a,s,a,r,a,m
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,a,r,b,h,a,n,g,a,",",k
,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",a,u,r,a,n,g,a,b,a,d,",",a,u,r,a,n,g,a,b,a
,,,,,,,,a,u,r,a,n,g,a,b,a,d,",",g,a,y,a,",",k,i,s,h,a,n,g,a,n,j,",",p,u,r,n,i,a,",",d,e,h,r,i,",",m,o,t,i,h,a,r,i,",",m,u,z
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,a,t,n,a,",",b,e,g,u,s,a,r,a,i,",",k,i,s,h,a,n,g,a,n,j,",",j,e,h,a,n
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,m,o,t,i,h,a,r,i,",",j,a,m,a,l,p,u,r,",",m,u,n,g,e,r,",",s,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r,a,i,",",c,h,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,e,g,u,s,a,r,a,i,",",a,u,r,a,n,g,a,b,a,d,",",g,a,y,a,","
,,,,,,,,,,,,,,,,,,,,,,,,,",",s,i,w,a,n,",",b,i,h,a,r, ,s,h,a,r,i,f,",",a,u,r,a,n,g,a,b,a,d,",",m,o,t,i
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b,i,h,a,r, ,s,h,a,r,i,f,",",m,u,n,g,e,r,",",s,i,w,a,n
,,,,,,,,,,,,,,,g,a,n,j,",",k,i,s,h,a,n,g,a,n,j,",",d,e,h,r,i,",",b,e,t,t,i,a,h,",",d,a,r,b,h,a,n,g,a,",",k,a,t,i,h
,,,,,,,,,,,,,,,a,n,g,a,n,j,",",j,a,m,a,l,p,u,r,",",d,e,h,r,i,",",m,u,z,a,f,f,a,r,p,u,r,",",g,a,y,a,",",d,a,r,b,h,a
,,,,,,,,,,,,,,,,,,,,,,,,,,,,s,a,h,a,r,s,a,",",a,r,r,a,h,",",d,e,h,r,i,",",s,i,w,a,n,",",b,e,g,u,s,a
,,,,,a,r,b,h,a,n,g,a,",",s,a,h,a,r,s,a,",",b,i,h,a,r, ,s,h,a,r,i,f,",",a,u,r,a,n,g,a,b,a,d,",",h,a,j,i,p,u,r,",",m,u,z,a,f,f
